zone,outward,oneway_economy_bike,rt_cost,rt_tight_evening,band
zone1,W1B,8.54,17.08,17.08,B1
zone1,W1C,8.54,17.08,17.08,B1
zone1,W1D,8.54,17.08,17.08,B1
zone1,W1F,8.54,17.08,17.08,B1
zone1,W1G,8.54,17.08,17.08,B1
zone1,W1H,8.54,17.08,17.08,B1
zone1,W1J,8.54,17.08,17.08,B1
zone1,W1K,8.54,17.08,17.08,B1
zone1,W1S,8.54,17.08,17.08,B1
zone1,W1T,8.54,17.08,17.08,B1
zone1,W1U,8.54,17.08,17.08,B1
zone1,W1W,8.54,17.08,17.08,B1
zone1,WC1,8.54,17.08,17.08,B1
zone1,WC2,8.54,17.08,17.08,B1
zone1,EC1,8.54,17.08,17.08,B1
zone1,SW1,8.54,17.08,17.08,B1
zone1,SE1,8.54,17.08,17.08,B1
zone1,NW1,8.54,17.08,17.08,B1
zone2,W2,8.54,17.08,17.08,B1
zone1,EC4,8.89,17.78,17.78,B1
zone2,NW8,8.89,17.78,17.78,B1
zone1,N1,9.58,19.16,19.54,B1
zone2,W9,9.58,19.16,19.72,B1
zone2,W11,9.91,19.82,21.02,B1
zone2,SW7,9.91,19.82,21.02,B1
zone1,EC2,10.43,20.86,20.86,B1
outer,SW8,10.43,20.86,23.16,B1
zone1,EC3,10.6,21.2,21.2,B1
zone2,SE11,10.6,21.2,21.2,B1
zone2,NW5,10.78,21.56,21.56,B1
zone2,SW3,10.94,21.88,21.88,B1
outer,SE17,11.11,22.22,22.22,B1
zone1,E1,11.28,22.56,22.56,B1
zone2,N5,11.46,22.92,22.92,B1
zone2,NW6,11.46,22.92,22.92,B1
zone2,W8,11.8,23.6,23.6,B1
zone2,W10,11.96,23.92,24.4,B1
zone2,N7,11.96,23.92,24.4,B1
zone2,SW11,12.14,24.28,25.0,B2
zone2,SW5,12.31,24.62,26.36,B2
zone2,W14,12.48,24.96,26.72,B2
zone2,SW10,12.48,24.96,26.72,B2
zone2,E2,12.48,24.96,26.72,B2
outer,W12,12.65,25.3,27.58,B2
zone2,SW6,13.0,26.0,29.38,B2
outer,SW4,13.33,26.66,30.94,B2
zone2,N4,13.51,27.02,31.34,B2
zone2,E8,13.85,27.7,33.24,B2
outer,SW9,13.85,27.7,33.5,B2
outer,W6,14.02,28.04,33.94,B2
zone2,SE5,14.36,28.72,35.62,B2
zone2,SE16,14.36,28.72,35.9,B2
zone2,N16,14.36,28.72,35.9,B2
outer,SE24,14.53,29.06,36.64,B2
zone2,NW3,14.56,29.12,31.44,B2
outer,N19,14.56,29.12,31.44,B2
zone2,SE15,14.7,29.4,37.34,B2
zone2,E3,15.22,30.44,39.88,B2
outer,NW2,15.49,30.98,35.02,B2
zone2,E14,15.73,31.46,42.16,B2
outer,E5,15.73,31.46,42.16,B2
zone2,E9,15.9,31.8,41.36,B2
outer,SE14,15.9,31.8,41.36,B2
outer,N6,16.2,32.4,37.92,B3
outer,SW15,16.42,32.84,44.0,B3
outer,SE8,16.75,33.5,45.58,B3
outer,SW18,17.1,34.2,47.54,B3
outer,E15,17.27,34.54,48.02,B3
outer,NW10,17.83,35.66,44.2,B3
outer,SE10,17.95,35.9,51.34,B3
outer,SE22,18.07,36.14,45.16,B3
outer,NW11,18.3,36.6,46.1,B3
outer,N10,18.77,37.54,48.04,B3
outer,SE21,19.48,38.96,48.68,B3
outer,N2,19.48,38.96,48.68,B3
outer,SW12,19.94,39.88,50.64,B3
outer,N15,19.94,39.88,50.64,B3
outer,W3,20.17,40.34,52.04,B3
outer,W4,20.17,40.34,51.62,B3
outer,N8,20.4,40.8,53.06,B3
outer,SW13,20.87,41.74,54.7,B3
outer,SE4,21.1,42.2,55.7,B3
outer,W5,22.27,44.54,61.04,B4
outer,E10,22.74,45.48,63.22,B4
outer,SW17,22.97,45.94,63.86,B4
outer,SE13,23.9,47.8,68.38,B4
outer,E7,23.9,47.8,67.9,B4
outer,W13,24.14,48.28,69.08,B4
outer,SE23,24.14,48.28,69.08,B4
outer,SW16,24.84,49.68,72.52,B4
outer,E17,24.84,49.68,72.04,B4
outer,SE6,25.08,50.16,73.72,B4
outer,E11,25.31,50.62,74.92,B4
outer,E16,25.31,50.62,74.4,B4
outer,SE19,26.02,52.04,74.92,B4
outer,E12,26.24,52.48,75.58,B4
outer,E6,27.42,54.84,80.04,B4
outer,SW19,28.58,57.16,84.58,B4
outer,W7,32.88,65.76,101.26,B4
