zone_band,outward_code,representative_postcode,destination_label,standard_3h_min_gross,priority_2h_min_gross,urgent_1h_min_gross,pushbike_3h_min_gross,motorcycle_3h_min_gross,recommended_band,errors
zone1,E1,E1 7QX,Whitechapel Gallery,11.28 GBP,17.50 GBP,20.54 GBP,11.28 GBP,14.03 GBP,standard_paid_priority_available,
outer,E10,E10 5PS,Leyton Station,30.52 GBP,40.54 GBP,40.54 GBP,31.61 GBP,30.52 GBP,outer_manual_or_motorbike_only,
outer,E11,E11 1HE,Leytonstone Station,37.46 GBP,46.06 GBP,46.06 GBP,37.46 GBP,39.34 GBP,outer_manual_or_motorbike_only,
outer,E12,E12 5BP,Manor Park Station,37.79 GBP,47.76 GBP,47.76 GBP,37.79 GBP,47.05 GBP,outer_manual_or_motorbike_only,
zone2,E14,E14 5AB,One Canada Square,21.08 GBP,28.48 GBP,28.63 GBP,21.08 GBP,23.84 GBP,standard_premium_review_priority_optional,
outer,E15,E15 1AZ,Stratford Station,24.01 GBP,31.43 GBP,31.43 GBP,24.01 GBP,31.61 GBP,outer_manual_or_motorbike_only,
outer,E16,E16 1XL,ExCeL London,37.20 GBP,46.06 GBP,46.06 GBP,37.20 GBP,41.96 GBP,outer_manual_or_motorbike_only,
outer,E17,E17 7LP,Walthamstow Central Station,36.02 GBP,45.22 GBP,45.22 GBP,36.02 GBP,36.02 GBP,outer_manual_or_motorbike_only,
zone2,E2,E2 0ET,Bethnal Green Station,13.36 GBP,20.35 GBP,22.72 GBP,13.36 GBP,16.94 GBP,standard_paid_priority_available,
zone2,E3,E3 2SJ,Bow Road Station,19.94 GBP,27.24 GBP,27.70 GBP,19.94 GBP,25.32 GBP,standard_premium_review_priority_optional,
outer,E5,E5 9JP,Clapton Station,21.08 GBP,28.32 GBP,28.63 GBP,21.08 GBP,23.57 GBP,standard_premium_review_priority_optional,
outer,E6,E6 2JA,East Ham Station,40.02 GBP,49.90 GBP,49.90 GBP,40.02 GBP,47.05 GBP,outer_manual_or_motorbike_only,
outer,E7,E7 0QH,Forest Gate Station,33.95 GBP,43.51 GBP,43.51 GBP,33.95 GBP,43.98 GBP,outer_manual_or_motorbike_only,
zone2,E8,E8 1LL,Hackney Central Station,16.62 GBP,23.69 GBP,25.20 GBP,16.62 GBP,20.27 GBP,standard_premium_review_priority_optional,
zone2,E9,E9 5TS,Hackney Wick Station,21.44 GBP,29.40 GBP,29.57 GBP,21.44 GBP,25.32 GBP,standard_premium_review_priority_optional,
zone1,EC1,EC1R 4TN,Sadler's Wells Theatre,8.54 GBP,12.41 GBP,15.56 GBP,8.54 GBP,10.48 GBP,standard_free_candidate_priority_available,
