quoted_at,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:11:21+01:00,35,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:10:29+01:00,38,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:11:21+01:00,35,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:10:29+01:00,38,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:11:21+01:00,35,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:10:29+01:00,38,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:11:21+01:00,35,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:10:29+01:00,38,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:11:21+01:00,35,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:10:29+01:00,38,
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,direct_now_asap,,,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T05:47:10+01:00,2026-05-05T05:58:31+01:00,35,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,W1T,W1T 2LY,16 Charlotte Street,The Fitzroy Tavern,direct_now_asap,,,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T05:47:11+01:00,2026-05-05T05:57:40+01:00,38,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:08:34+01:00,33,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:08:34+01:00,33,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:08:34+01:00,33,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:08:34+01:00,33,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:09:28+01:00,37,
2026-05-05T04:16:57+00:00,W1W,W1W 7AX,46 Langham Street,The Yorkshire Grey,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:08:34+01:00,33,
